# real imag
2.008203489855180482e-17 0.000000000000000000e+00
-1.652192524970094957e-17 0.000000000000000000e+00
1.009368102160986045e-17 0.000000000000000000e+00
9.103509137052756662e-18 0.000000000000000000e+00
-1.129839958477539416e-17 0.000000000000000000e+00
1.064173969211311523e-17 0.000000000000000000e+00
-1.000398003835727589e-17 0.000000000000000000e+00
3.414925255282796780e-19 0.000000000000000000e+00
-2.803201971933444745e-17 0.000000000000000000e+00
1.323365836198411325e-17 0.000000000000000000e+00
3.290173877254576284e-18 0.000000000000000000e+00
-3.038075143101681163e-18 0.000000000000000000e+00
1.130061641775011434e-17 0.000000000000000000e+00
-1.394495311971464783e-18 0.000000000000000000e+00
2.649924326941690678e-18 0.000000000000000000e+00
-6.247816810934028255e-19 0.000000000000000000e+00
-9.985442145376686715e-18 0.000000000000000000e+00
1.654620549205890573e-17 0.000000000000000000e+00
1.242627718177070908e-17 0.000000000000000000e+00
-2.865010944011072371e-18 0.000000000000000000e+00
1.146438108497300180e-17 0.000000000000000000e+00
-2.886889195505576753e-18 0.000000000000000000e+00
-3.504173554003336835e-18 0.000000000000000000e+00
1.379069794525095385e-18 0.000000000000000000e+00
1.091937884745165133e-17 0.000000000000000000e+00
-5.650590929318992310e-18 0.000000000000000000e+00
-2.419570857931659626e-18 0.000000000000000000e+00
2.585538147344546294e-18 0.000000000000000000e+00
-2.506849202005990888e-18 0.000000000000000000e+00
4.759885701430182291e-18 0.000000000000000000e+00
-2.379856419762129678e-18 0.000000000000000000e+00
1.951695113830730733e-18 0.000000000000000000e+00
1.721742142003810972e-17 0.000000000000000000e+00
8.514439927860668995e-18 0.000000000000000000e+00
1.070578334433776769e-17 0.000000000000000000e+00
-4.838163802945635110e-18 0.000000000000000000e+00
1.754577568364252979e-19 0.000000000000000000e+00
-3.228277019338296905e-18 0.000000000000000000e+00
-4.157788235828215810e-18 0.000000000000000000e+00
-1.426654909524743421e-18 0.000000000000000000e+00
2.668509600104823078e-18 0.000000000000000000e+00
-4.400125298030834473e-18 0.000000000000000000e+00
-1.739229564045433855e-18 0.000000000000000000e+00
2.312354880004109488e-18 0.000000000000000000e+00
-4.850768410408230560e-19 0.000000000000000000e+00
-5.351721214894630286e-19 0.000000000000000000e+00
-3.848434447789476318e-18 0.000000000000000000e+00
2.558847622565335919e-18 0.000000000000000000e+00
-3.599217787152436130e-18 0.000000000000000000e+00
-7.229889563602224861e-18 0.000000000000000000e+00
-3.327476562378335342e-18 0.000000000000000000e+00
8.621322929627698360e-19 0.000000000000000000e+00
-3.144989792929002167e-18 0.000000000000000000e+00
1.610898155813971405e-18 0.000000000000000000e+00
1.656056740534502409e-18 0.000000000000000000e+00
4.313938395621489148e-19 0.000000000000000000e+00
-2.485754020023953352e-18 0.000000000000000000e+00
2.690835521827060917e-18 0.000000000000000000e+00
1.146953448935749699e-18 0.000000000000000000e+00
-3.083571136351613231e-19 0.000000000000000000e+00
-3.158346530386072355e-18 0.000000000000000000e+00
1.840731072472833258e-19 0.000000000000000000e+00
3.402193879983445414e-19 0.000000000000000000e+00
1.998101182539633365e-19 0.000000000000000000e+00
-1.720596143040179011e-17 0.000000000000000000e+00
3.254022970390814394e-18 0.000000000000000000e+00
-4.717577910655895899e-18 0.000000000000000000e+00
-2.376857521222141365e-18 0.000000000000000000e+00
5.755196365416470180e-18 0.000000000000000000e+00
-2.653914812070634316e-18 0.000000000000000000e+00
-3.082429904008091543e-18 0.000000000000000000e+00
-4.760327143950343357e-18 0.000000000000000000e+00
1.118867036589978230e-17 0.000000000000000000e+00
-4.451123543451873289e-18 0.000000000000000000e+00
-2.125622937713669168e-18 0.000000000000000000e+00
-1.095810305883443264e-18 0.000000000000000000e+00
-5.417886713495724496e-18 0.000000000000000000e+00
-8.651056267984875701e-19 0.000000000000000000e+00
-3.472762512996110875e-18 0.000000000000000000e+00
8.214232634848813654e-19 0.000000000000000000e+00
-1.304797566649491675e-18 0.000000000000000000e+00
-5.714133575904735663e-18 0.000000000000000000e+00
-1.662134126450446826e-18 0.000000000000000000e+00
2.769687115685169249e-18 0.000000000000000000e+00
8.522384037819053287e-19 0.000000000000000000e+00
1.750406760941715806e-18 0.000000000000000000e+00
-9.279913816190288730e-19 0.000000000000000000e+00
1.864169110248914596e-18 0.000000000000000000e+00
-2.346729047016971804e-19 0.000000000000000000e+00
2.376634818739304069e-18 0.000000000000000000e+00
-3.476409800682776175e-19 0.000000000000000000e+00
1.768572033852895476e-18 0.000000000000000000e+00
-4.841094551454493105e-19 0.000000000000000000e+00
2.192397176338468785e-18 0.000000000000000000e+00
2.478112331002671084e-18 0.000000000000000000e+00
1.200097778862694902e-19 0.000000000000000000e+00
-9.333252271653624859e-18 0.000000000000000000e+00
-3.631251180345052325e-18 0.000000000000000000e+00
-5.593833758113865368e-18 0.000000000000000000e+00
-1.760200016286138238e-18 0.000000000000000000e+00
-5.888166016165673964e-18 0.000000000000000000e+00
-2.627175453731332474e-18 0.000000000000000000e+00
2.305304879812889592e-20 0.000000000000000000e+00
2.969877463169581257e-18 0.000000000000000000e+00
-2.014453296120306055e-18 0.000000000000000000e+00
-7.467910079630896821e-19 0.000000000000000000e+00
9.726500106737152010e-19 0.000000000000000000e+00
2.750753872815900317e-18 0.000000000000000000e+00
-2.368572805514840967e-18 0.000000000000000000e+00
2.297859179008471365e-18 0.000000000000000000e+00
5.535940693733842359e-18 0.000000000000000000e+00
2.601570917165517349e-18 0.000000000000000000e+00
-2.698588831346329801e-18 0.000000000000000000e+00
3.291663016208469966e-18 0.000000000000000000e+00
2.050740595897044340e-19 0.000000000000000000e+00
2.186257901133832066e-18 0.000000000000000000e+00
-3.716268527963032139e-18 0.000000000000000000e+00
1.402335984127044296e-18 0.000000000000000000e+00
3.277447705632335480e-18 0.000000000000000000e+00
-4.711933893282227580e-19 0.000000000000000000e+00
1.474055510884504379e-20 0.000000000000000000e+00
3.830447790114034191e-19 0.000000000000000000e+00
6.338473058606814827e-19 0.000000000000000000e+00
1.786474057626589061e-19 0.000000000000000000e+00
2.009959245127953403e-18 0.000000000000000000e+00
1.088408748038132286e-18 0.000000000000000000e+00
1.843685217850771083e-18 0.000000000000000000e+00
-9.743608725190653144e-04 0.000000000000000000e+00
-2.217045208399114489e-17 0.000000000000000000e+00
1.012402052744511283e-17 0.000000000000000000e+00
3.396789405228415616e-18 0.000000000000000000e+00
-4.668176862503076483e-18 0.000000000000000000e+00
1.027038972530556492e-17 0.000000000000000000e+00
-1.355923528407087204e-18 0.000000000000000000e+00
-1.997107312683221748e-18 0.000000000000000000e+00
-1.682276782785219346e-18 0.000000000000000000e+00
2.717751519111320465e-17 0.000000000000000000e+00
-4.244849677133699260e-18 0.000000000000000000e+00
-1.712235526376045684e-18 0.000000000000000000e+00
6.532612212777329131e-19 0.000000000000000000e+00
-2.573796099863145139e-18 0.000000000000000000e+00
3.320811233559331822e-20 0.000000000000000000e+00
-4.268499491336825361e-18 0.000000000000000000e+00
-1.212219974844374069e-19 0.000000000000000000e+00
5.426857689974433771e-18 0.000000000000000000e+00
-7.797912912836786947e-18 0.000000000000000000e+00
